name,display_name,certificate_id,journal,role,issue_date,valid_from,valid_until,token,status,revoked_at,cert_type,detail
Alan Pan,Alan Pan,PSG-SILENCE-EB-2026-000009,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,8KJGKG79,active,,,
Xueqing Deng,Xueqing Deng,PSG-SILENCE-EB-2026-000010,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,APEN6V9P,active,,,
Chengtian Liang,Chengtian Liang,PSG-SILENCE-EB-2026-000011,Silence,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,3TVQ55TU,active,,,
Zekai Yu,Zekai Yu,PSG-AFS-EIC-2026-000001,AI & Future Society,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,H7F22FSA,active,,,
Yuhong Wang,Yuhong Wang,PSG-AFS-AE-2026-000002,AI & Future Society,Associate Editor,2026-08-15,2026-08-15,2029-08-14,NW3YBQU4,active,,,
Xiaomin Li,Xiaomin Li,PSG-AFS-ASE-2026-000003,AI & Future Society,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,5UCPGYN7,active,,,
Mayukh Bagchi,Dr. Mayukh Bagchi,PSG-AFS-EB-2026-000004,AI & Future Society,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,KTWDQTHQ,active,,,
Yongxin Chen,Dr. Yongxin Chen,PSG-AFS-EB-2026-000005,AI & Future Society,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,UP8QV7ME,active,,,
Qiong Xie,Dr. Qiong Xie,PSG-AFS-EB-2026-000006,AI & Future Society,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,8KXFXRN6,active,,,
Wenwen Zhang,Dr. Wenwen Zhang,PSG-AFS-EB-2026-000007,AI & Future Society,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,G47SCWK9,active,,,
Xuzhuo Zhang,Xuzhuo Zhang,PSG-AFS-EB-2026-000008,AI & Future Society,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,7XJBK4FB,active,,,
Yueqi Tian,Yueqi Tian,PSG-AFS-ECB-2026-000009,AI & Future Society,Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,TD4MZFAX,active,,,
Hao Zhang,Hao Zhang,PSG-AFS-ECB-2026-000010,AI & Future Society,Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,GE7NHH2C,active,,,
Salvatore Stanizzi,Salvatore Stanizzi,PSG-AFS-ECB-2026-000011,AI & Future Society,Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,E727D3CW,active,,,
Feifei Chen,Feifei Chen,PSG-HN-EIC-2026-000001,Health Nexus,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,4YW5C895,active,,,
Rui-Zhe Jiang,Rui-Zhe Jiang,PSG-HN-AE-2026-000002,Health Nexus,Associate Editor,2026-08-15,2026-08-15,2029-08-14,YWA7JA5D,active,,,
Yulei Tao,Dr. Yulei Tao,PSG-HN-AE-2026-000003,Health Nexus,Associate Editor,2026-08-15,2026-08-15,2029-08-14,F65ECASU,active,,,
Xingkai Zhang,Xingkai Zhang,PSG-HN-ASE-2026-000004,Health Nexus,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,YKC4S9GJ,active,,,
Yiwen Gu,Yiwen Gu,PSG-HN-ASE-2026-000005,Health Nexus,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,TKBWH7RP,active,,,
Yunliang Lei,Yunliang Lei,PSG-HN-ASE-2026-000006,Health Nexus,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,5BYF6AUK,active,,,
Yangyi Ren,Yangyi Ren,PSG-HN-ASE-2026-000007,Health Nexus,Assistant Editor,2026-08-15,2026-08-15,2029-08-14,JDSHD5JW,active,,,
Guijun Zhang,Dr. Guijun Zhang,PSG-HN-EB-2026-000008,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,CWSUU7Y4,active,,,
Jinyang Li,Jinyang Li,PSG-HN-EB-2026-000009,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,UDAXF7HH,revoked,2026-08-17,,
Ning Wang,Ning Wang,PSG-HN-EB-2026-000010,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,PPCKCJCY,revoked,2026-08-17,,
Sichen Xia,Sichen Xia,PSG-HN-EB-2026-000011,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,ZMHYMA6C,revoked,2026-08-17,,
Yunze Lu,Yunze Lu,PSG-HN-EB-2026-000012,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,YCXV3NBZ,revoked,2026-08-17,,
Zhen He,Dr. Zhen He,PSG-HN-EB-2026-000013,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,F2NGM45Z,active,,,
Jiabin Tang,Dr. Jiabin Tang,PSG-HN-EB-2026-000014,Health Nexus,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,U27KCSBH,active,,,
Qilong Wang,Qilong Wang,PSG-HN-ECB-2026-000015,Health Nexus,Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,FGNVHQ2S,active,,,
Siheng Ma,Siheng Ma,PSG-HN-ECB-2026-000016,Health Nexus,Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,XCZ2QS58,active,,,
Youqian Zhong,Dr. Youqian Zhong,PSG-GRHAS-EB-2026-000001,"Global Review of Humanities, Arts, and Society",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,MB23A8K9,active,,,
Qin Shi,Dr. Qin Shi,PSG-GRHAS-EB-2026-000002,"Global Review of Humanities, Arts, and Society",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,KUH7VV94,active,,,
Peixing Wang,Dr. Peixing Wang,PSG-GRHAS-EB-2026-000003,"Global Review of Humanities, Arts, and Society",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,BXGNEA9Y,active,,,
Xiao Huang,Prof. Xiao Huang,PSG-GRHAS-EB-2026-000004,"Global Review of Humanities, Arts, and Society",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,ZD6U7UX3,active,,,
Jun Gui,Dr. Jun Gui,PSG-GRHAS-EB-2026-000005,"Global Review of Humanities, Arts, and Society",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,33AHXZAR,active,,,
Yixin Chen,Dr. Yixin Chen,PSG-GRHAS-ECB-2026-000006,"Global Review of Humanities, Arts, and Society",Early Career Editorial Board,2026-08-15,2026-08-15,2029-08-14,DKTE58PC,active,,,
Jooyoung Kim,Prof. Jooyoung Kim,PSG-GRHAS-IAB-2026-000007,"Global Review of Humanities, Arts, and Society",International Advisory Board,2026-08-15,2026-08-15,2029-08-14,AABVK85R,active,,,
Yosuke Uchiyama,Prof. Yosuke Uchiyama,PSG-GRHAS-IAB-2026-000008,"Global Review of Humanities, Arts, and Society",International Advisory Board,2026-08-15,2026-08-15,2029-08-14,VZ2SRDUX,active,,,
Zeyu Wang,Dr. Zeyu Wang,PSG-GRHAS-IAB-2026-000009,"Global Review of Humanities, Arts, and Society",International Advisory Board,2026-08-15,2026-08-15,2029-08-14,25HZFW4U,active,,,
Yan Zhang,Prof. Yan Zhang,PSG-GRHAS-IAB-2026-000010,"Global Review of Humanities, Arts, and Society",International Advisory Board,2026-08-15,2026-08-15,2029-08-14,NQV53FHK,active,,,
Yiu Kwong Au-Yeung,Dr. Yiu Kwong Au-Yeung,PSG-GRHAS-IAB-2026-000011,"Global Review of Humanities, Arts, and Society",International Advisory Board,2026-08-15,2026-08-15,2029-08-14,C9W3HUHY,active,,,
Yaolin Zhang,Yaolin Zhang,PSG-CSGS-EIC-2026-000001,Climate Sustainability & Global Systems,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,9549SN7V,active,,,
Menghui Li,Menghui Li,PSG-CSGS-CEIC-2026-000002,Climate Sustainability & Global Systems,Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,MS3MQ63G,active,,,
Xinyan Shao,Xinyan Shao,PSG-CSGS-AE-2026-000003,Climate Sustainability & Global Systems,Associate Editor,2026-08-15,2026-08-15,2029-08-14,3TK8Q6YC,active,,,
Pengrong Huang,Pengrong Huang,PSG-CSGS-AE-2026-000004,Climate Sustainability & Global Systems,Associate Editor,2026-08-15,2026-08-15,2029-08-14,37YC2P8P,active,,,
Yiming Zou,Yiming Zou,PSG-CSGS-AE-2026-000005,Climate Sustainability & Global Systems,Associate Editor,2026-08-15,2026-08-15,2029-08-14,E8FC8RNR,active,,,
Xueqing Deng,Xueqing Deng,PSG-CSGS-EB-2026-000006,Climate Sustainability & Global Systems,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,4F4FKYMP,active,,,
Sebastian Lenz,Sebastian Lenz,PSG-GRHAS-EIC-2026-000012,"Global Review of Humanities, Arts, and Society",Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,9DB3Z4FV,active,,,
Xinhuan Zeng,Dr. Xinhuan Zeng,PSG-GRHAS-CEIC-2026-000013,"Global Review of Humanities, Arts, and Society",Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,ZUA3X55H,active,,,
Haipeng Zhao,Dr. Haipeng Zhao,PSG-GRHAS-CEIC-2026-000014,"Global Review of Humanities, Arts, and Society",Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,H2J62BVH,active,,,
Qilun Hu,Dr. Qilun Hu,PSG-GRHAS-AE-2026-000015,"Global Review of Humanities, Arts, and Society",Associate Editor,2026-08-15,2026-08-15,2029-08-14,QAK79PJX,active,,,
Haoqi Luo,Dr. Haoqi Luo,PSG-GRHAS-AE-2026-000016,"Global Review of Humanities, Arts, and Society",Associate Editor,2026-08-15,2026-08-15,2029-08-14,VXMDUHQ6,active,,,
Zhili Zhu,Zhili Zhu,PSG-GRHAS-ASE-2026-000017,"Global Review of Humanities, Arts, and Society",Assistant Editor,2026-08-15,2026-08-15,2029-08-14,ZM628RJD,active,,,
Fangting Xu,Fangting Xu,PSG-GRHAS-ASE-2026-000018,"Global Review of Humanities, Arts, and Society",Assistant Editor,2026-08-15,2026-08-15,2029-08-14,4QQ2XGRR,active,,,
Zeyu Wang,Zeyu Wang,PSG-JESA-EIC-2026-000001,Journal of Engineering Systems and Applications,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,YUXDA9GG,active,,,
Jiarui Li,Jiarui Li,PSG-JESA-AE-2026-000002,Journal of Engineering Systems and Applications,Associate Editor,2026-08-15,2026-08-15,2029-08-14,VVVJ6YSE,active,,,
Shaolong Wei,Shaolong Wei,PSG-JESA-AE-2026-000003,Journal of Engineering Systems and Applications,Associate Editor,2026-08-15,2026-08-15,2029-08-14,6ZB5NUMB,active,,,
Xuan Zhao,Xuan Zhao,PSG-JESA-AE-2026-000004,Journal of Engineering Systems and Applications,Associate Editor,2026-08-15,2026-08-15,2029-08-14,JYVDVQTN,active,,,
Zhihao Weng,Zhihao Weng,PSG-JESA-EB-2026-000005,Journal of Engineering Systems and Applications,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,79WSKDKP,active,,,
Qilun Hu,Qilun Hu,PSG-JLPCS-EIC-2026-000001,"Journal of Law, Psychology, and Communication Studies",Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,FZ762ERD,active,,,
Sheng Zhong,Sheng Zhong,PSG-JLPCS-CEIC-2026-000002,"Journal of Law, Psychology, and Communication Studies",Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,33DKCFGH,active,,,
Yingli Piao,Yingli Piao,PSG-JLPCS-CEIC-2026-000003,"Journal of Law, Psychology, and Communication Studies",Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,UYJQRH5M,active,,,
Yujia Lu,Yujia Lu,PSG-JLPCS-DEIC-2026-000004,"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,DGBEBB6W,active,,,
Xiaoxi Zhai,Xiaoxi Zhai,PSG-JLPCS-DEIC-2026-000005,"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,HJNHETAW,active,,,
Qimeng Dang,Qimeng Dang,PSG-JLPCS-DEIC-2026-000006,"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,WABKTNSB,active,,,
Nuo Chen,Nuo Chen,PSG-JLPCS-DEIC-2026-000007,"Journal of Law, Psychology, and Communication Studies",Deputy Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,VGQ72MNX,active,,,
Qimeng Dang,Qimeng Dang,PSG-JLPCS-EBC-2026-000008,"Journal of Law, Psychology, and Communication Studies",Chair of the Editorial Board,2026-08-15,2026-08-15,2029-08-14,6P54F7GG,active,,,
Linhui Huang,Linhui Huang,PSG-JLPCS-EB-2026-000009,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,ZSQ7SBYN,active,,,
Alan Pan,Alan Pan,PSG-JLPCS-EB-2026-000010,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,HVEBW459,active,,,
Danni Tang,Danni Tang,PSG-JLPCS-EB-2026-000011,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,E8N99ECR,active,,,
Haipeng Zhao,Haipeng Zhao,PSG-JLPCS-EB-2026-000012,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,9QXDRMNH,active,,,
Jinlai Zhou,Jinlai Zhou,PSG-JLPCS-EB-2026-000013,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,S42TFDZ9,active,,,
Jun Gui,Jun Gui,PSG-JLPCS-EB-2026-000014,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,CH4E5ESG,active,,,
Peng Zhu,Peng Zhu,PSG-JLPCS-EB-2026-000015,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,G36BJ28Z,active,,,
Pengcheng Wang,Pengcheng Wang,PSG-JLPCS-EB-2026-000016,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,28WMXAC2,active,,,
Raul Zeyi Huang,Raul Zeyi Huang,PSG-JLPCS-EB-2026-000017,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,T6H69SN8,active,,,
Shanliang Xu,Shanliang Xu,PSG-JLPCS-EB-2026-000018,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,FGX7WQ6K,active,,,
Yiu Kwong Au-Yeung,Yiu Kwong Au-Yeung,PSG-JLPCS-EB-2026-000019,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,Y9H5KRYS,active,,,
Yun Pei,Yun Pei,PSG-JLPCS-EB-2026-000020,"Journal of Law, Psychology, and Communication Studies",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,ZUFRF9NX,active,,,
Novichkova Mariia,Novichkova Mariia,PSG-JLPCS-GE-2026-000021,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,Y2ZYW6U7,active,,,
Savina Lera,Savina Lera,PSG-JLPCS-GE-2026-000022,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,MSP7GMDX,active,,,
Potemkin Petr,Potemkin Petr,PSG-JLPCS-GE-2026-000023,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,89NHV92R,active,,,
Xiang Li,Xiang Li,PSG-JLPCS-GE-2026-000024,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,AYBPYPHP,active,,,
Bondareva Svetlana,Bondareva Svetlana,PSG-JLPCS-GE-2026-000025,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,KACV2QCN,active,,,
Gabdullova Dina,Gabdullova Dina,PSG-JLPCS-GE-2026-000026,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,GRD9RJCF,active,,,
Uaisova Tamiris,Uaisova Tamiris,PSG-JLPCS-GE-2026-000027,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,X4Q3ZG2Y,active,,,
Yosuke Uchiyama,Yosuke Uchiyama,PSG-JLPCS-GE-2026-000028,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,RUGTYT3Q,active,,,
Youqian Zhong,Youqian Zhong,PSG-JLPCS-GE-2026-000029,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,9X3MGTN9,active,,,
Zhongxuan Gao,Zhongxuan Gao,PSG-JLPCS-GE-2026-000030,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,GU28YP69,active,,,
Yuyun Zhang,Yuyun Zhang,PSG-JLPCS-GE-2026-000031,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,ZZWF53K4,active,,,
Lili Long,Lili Long,PSG-JLPCS-GE-2026-000032,"Journal of Law, Psychology, and Communication Studies",Guest Editor,2026-08-15,2026-08-15,2029-08-14,QZP2TPJ3,active,,,
Yangyi Ren,Yangyi Ren,PSG-JSCC-EIC-2026-000001,Journal of Social Cognition and Communication,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,RQH8GSFG,active,,,
Jun Gui,Jun Gui,PSG-JSCC-EB-2026-000002,Journal of Social Cognition and Communication,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,398JG3T6,active,,,
Peng Zhu,Peng Zhu,PSG-JSCC-EB-2026-000003,Journal of Social Cognition and Communication,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,JZDQ97FK,active,,,
Pengcheng Wang,Pengcheng Wang,PSG-JSCC-EB-2026-000004,Journal of Social Cognition and Communication,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,BE6EG93B,active,,,
Raul Zeyi Huang,Raul Zeyi Huang,PSG-JSCC-EB-2026-000005,Journal of Social Cognition and Communication,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,VWSU5C7S,active,,,
Shanliang Xu,Shanliang Xu,PSG-JSCC-EB-2026-000006,Journal of Social Cognition and Communication,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,BR37TD44,active,,,
Yiming Yang,Yiming Yang,PSG-PEMR-EIC-2026-000001,PoliEcoM Administration Review,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,4JBZ6RDC,active,,,
Yuting Chen,Yuting Chen,PSG-PEMR-CEIC-2026-000002,PoliEcoM Administration Review,Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,W3B5A925,active,,,
Haoqi Luo,Haoqi Luo,PSG-PEMR-CEIC-2026-000003,PoliEcoM Administration Review,Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,QX7ATBRA,active,,,
Haipeng Zhao,Haipeng Zhao,PSG-PEMR-EBC-2026-000004,PoliEcoM Administration Review,Chair of the Editorial Board,2026-08-15,2026-08-15,2029-08-14,6M58ZATR,active,,,
Junyu Zhu,Junyu Zhu,PSG-PEMR-AE-2026-000005,PoliEcoM Administration Review,Associate Editor,2026-08-15,2026-08-15,2029-08-14,JCJVEQ5F,active,,,
Raul Zeyi Huang,Raul Zeyi Huang,PSG-PEMR-EB-2026-000006,PoliEcoM Administration Review,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,RE59TYHG,active,,,
Yosuke Uchiyama,Yosuke Uchiyama,PSG-PEMR-EB-2026-000007,PoliEcoM Administration Review,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,3GHFHQ3B,active,,,
Siyang Mei,Siyang Mei,PSG-PEMR-GE-2026-000008,PoliEcoM Administration Review,Guest Editor,2026-08-15,2026-08-15,2029-08-14,PHKGMD4U,active,,,
Bing Wang,Bing Wang,PSG-RGGD-EIC-2026-000001,Rural Governance and Green Development,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,C3QYBAJW,active,,,
Wan Li,Wan Li,PSG-RGGD-CEIC-2026-000002,Rural Governance and Green Development,Co-Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,T7K55FC9,active,,,
Wenyu Zhou,Wenyu Zhou,PSG-RGGD-SE-2026-000003,Rural Governance and Green Development,Section Editor,2026-08-15,2026-08-15,2029-08-14,8PW222Z6,active,,,
Shaokun Li,Shaokun Li,PSG-RGGD-GE-2026-000004,Rural Governance and Green Development,Guest Editor,2026-08-15,2026-08-15,2029-08-14,V94A74PN,active,,,
Raul Zeyi Huang,Raul Zeyi Huang,PSG-RGGD-EB-2026-000005,Rural Governance and Green Development,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,GKBZUTHJ,active,,,
Changliang Jie,Changliang Jie,PSG-RGGD-EB-2026-000006,Rural Governance and Green Development,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,MPUWAY4H,active,,,
Yong Guo,Yong Guo,PSG-RGGD-EB-2026-000007,Rural Governance and Green Development,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,WBDJX577,active,,,
Dong Wang,Dong Wang,PSG-RGGD-YEB-2026-000008,Rural Governance and Green Development,Youth Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,PV3XKREB,active,,,
Jicong Xue,Jicong Xue,PSG-RGGD-YEB-2026-000009,Rural Governance and Green Development,Youth Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,MC82BCGV,active,,,
Hengjie Wang,Hengjie Wang,PSG-TTS-EIC-2026-000001,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,6W4T2EFH,active,,,
Dongming Zhou,"Dongming Zhou, PhD",PSG-TTS-EB-2026-000002,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,M46EV9QJ,active,,,
Wenqiang Yu,"Wenqiang Yu, PhD",PSG-TTS-EB-2026-000003,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,GQEVAXXQ,active,,,
Ziyao Wei,Ziyao Wei,PSG-TTS-EB-2026-000004,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,XBP57RH2,active,,,
Juesen,Ven. Juesen,PSG-TTS-EB-2026-000005,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,5SAMBUEE,active,,,
Xingwang Huang,Xingwang Huang,PSG-TTS-EB-2026-000006,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,4274HR5S,active,,,
Mengzhou Wu,Mengzhou Wu,PSG-CROPT-EIC-2026-000002,Contemporary Review of Political Thought,Editor-in-Chief,2026-08-15,2026-08-15,2029-08-14,S37M824C,active,,,
Xinmeng Wang,Xinmeng Wang,PSG-CROPT-AE-2026-000003,Contemporary Review of Political Thought,Associate Editor,2026-08-15,2026-08-15,2029-08-14,2WTX6RG6,active,,,
Rongli Xu,Rongli Xu,PSG-CROPT-EB-2026-000004,Contemporary Review of Political Thought,Editorial Board Member,2026-08-15,2026-08-15,2029-08-14,UWTQVCQY,active,,,
